Набор данных для построения искусственного интеллекта;Сведения о контурах полей и посевах поступивших от регионального органа управления агропромышленным комплексом Республики Адыгея;Республика Адыгея;;https://www.mcxac.ru/upload/iblock/b50/b50ac8a12ff12e53131d294e977317d2.zip;http://www.mcxac.ru/;efis@mcxac.ru;+7 (495) 777-10-79
BFG Simulation;Платформа для управления производством на основе цифрового двойника предприятий АПК.;BFG Group;109147, Москва, ул. Марксистская, д. 34к10, офис 306-ст;https://www.mcxac.ru/upload/iblock/4de/4de0efbec8a0be1138d0b5711d380278.pdf;www.bfg.ai;moscow@bfg.ai;8 800 3500 631
Программа «Управление стадом КРС»;Программное обеспечение, позволяющее вести учет и анализ животных по показателям, направлено на повышение эффективности работы персонала.;ООО СК «Синергия»;426035, г. Ижевск, ул. 8 Марта, д. 16, оф. 506;https://www.mcxac.ru/upload/iblock/532/532bbac9d3ccfe0653b49175cd97cf90.pdf;www.synergy18.ru;dav018@mail.ru;+7(3412)941-698
Компьютерное зрение для АПК;;«Инфосистемы Джет»;127015, г. Москва, ул. Большая Новодмитровская, д.14, стр. 1;https://www.mcxac.ru/upload/iblock/722/7227b1319e957944541df4e3093ff8a2.pdf;www.jet.su;shustov@jet.su;+7 (495) 411-76-01
Центр машинного обучения;Интеллектуальный анализ данных и разработка систем с использованием методов машинного обучения и ИИ.;«Инфосистемы Джет»;127015, г. Москва, ул. Большая Новодмитровская, д.14, стр. 1;https://www.mcxac.ru/upload/iblock/535/535fc64cde936b2dace66d6d04f72473.pdf;www.jet.su;shustov@jet.su;+7 (495) 411-76-01
Агротроник;Экосистема цифровых решений и системы автономного управления сельскохозяйственными машинами.;Ростсельмаш;344029, Россия, г. Ростов-на-Дону, ул. Менжинского, 2;https://www.mcxac.ru/upload/iblock/793/793a09119b9b69d93fb0e8fbe0357acd.pdf;www.rostselmash.com;rostselmash@oaorsm.ru;+7(800)250-60-04
"«Агросистема ""КлеверFarmer""»";Цифровая платформа для рационального управления растениеводством в агрохозяйствах.;"ООО ""Лаборатория Минимакс""";121205, г. Москва, Технопарк Сколково, ул. Нобеля, д.7;https://www.mcxac.ru/upload/iblock/d8f/d8f299d7e97879ca56a39d246c7e225c.pdf;www.cleverfarmer.ru;info@cleverfarmer.ru;+7(495)657-98-78
KAYPRO - программа управления стадом;Сервис для обеспечения бесперебойной и эффективной работы на производстве;"""Мустанг Технология Кормления""";117513, г. Москва, Ленинский проспект, д. 137. корп. 1;https://www.mcxac.ru/upload/iblock/6f3/6f3cd4fb98ec0386f8a830e504b9602e.pdf;www.mustangtk.ru;mtk@mustangtk.ru;+7(495)931-91-90
Внедрение информационно-аналитической системы;Аналитическая платформа Visiology;Polymedia;117218, г.Москва, ул.Кржижановского, д. 29, корпус 1;https://www.mcxac.ru/upload/iblock/920/9202a0f30d78d19e00b6335cc1ea168b.pdf;www.polymedia.ru;pr@polymedia.ru;+7(495)956-85-81
GIS WebServer AGRO;Удалённый доступ к системе управления земледелием сельскохозяйственного предприятия на основе ГИС «Панорама АГРО».;Конструкторское бюро «Панорама»;119017, Москва, Пыжевский переулок, д. 5, стр. 3, этаж 2, офис 4;https://www.mcxac.ru/upload/iblock/899/899639b2e44f00eb60e18e0faf8768cf.pdf;gisinfo.ru;kb@gisinfo.ru;+7(495)739-02-45
CRM;Прикладное программное обеспечение для дилера пшеницы и других зерновых.;Решения КлиК;Москва, ул. Ибрагимова, д 35, стр. 2, пом.1;https://www.mcxac.ru/upload/iblock/a90/a90a096e53bd1a875c839eddc9822b91.pdf;www.sysclick.ru;office@sysclick.ru;+7(499)500-96-25
