Агротроник;Экосистема цифровых решений и системы автономного управления сельскохозяйственными машинами.;Ростсельмаш;344029, Россия, г. Ростов-на-Дону, ул. Менжинского, 2;https://www.mcxac.ru/upload/iblock/420/42073daa852c58cdc948c2457245f59c.pdf;www.rostselmash.com;rostselmash@oaorsm.ru;+7(800)250-60-04
Hecterra;Приложение для агросектора, позволяющее отслеживать ход полевых работ на основе телематических данных.;Gurtam;111141, г. Москва, Зеленый пр-т, 5/12-149А;https://www.mcxac.ru/upload/iblock/70a/70a975bd8067abe5281a895f306859df.pdf;www.gurtam.com/ru;info@gurtam.com;+7(495)369-00-60
IIoT из облака для агропромышленного комплекса;Технология, позволяющая объединить производственные объекты с помощью компьютерных сетей;Группа компаний «Техносерв»;111395, Москва, ул. Юности, д. 13;https://www.mcxac.ru/upload/iblock/f68/f68adfd1bfcb4e85fcfa7a5d8fd67e67.pdf;https://technoserv.com;tsas@technoserv.com;+7(495)790-79-79
1С: GIS Управление пространственными данными;Решение для повышения качества и скорости принятия управленческих решений за счет наглядной визуализации показателей деятельности предприятия;Фирма «1С»;;https://www.mcxac.ru/upload/iblock/a6c/a6c251b673ef3865da5872eba4ca2529.pdf;1c.ru;sales@1c.ru;+7(495)688-10-01
SmartStorage;Интеллектуальный сервис по мониторингу хранилищ;АЛАН-ИТ;150054 г. Ярославль, ул. Чехова, д. 2;https://www.mcxac.ru/upload/iblock/2e9/2e937c0d652312d352b50a9afd2307d0.pdf;www.alan-it.ru/wkpages/default.aspx;info@alan-it.ru;+7(4852)37-03-03
SmartSilo;Сервис по контролю за показателями созревания и хранения силоса в силосных траншеях;АЛАН-ИТ;150054 г. Ярославль, ул. Чехова, д. 2;https://www.mcxac.ru/upload/iblock/583/583594492d744a1a10bc9138a2176903.pdf;www.alan-it.ru/wkpages/default.aspx;info@alan-it.ru;+7(4852)37-03-03
Smart4Agro;Сервис для мониторинга, анализа и прогнозирования в тепличных хозяйствах;АЛАН-ИТ;150054 г. Ярославль, ул. Чехова, д. 2;https://www.mcxac.ru/upload/iblock/d0a/d0a3d6ef921efb37ee5239fd0964a683.pdf;www.alan-it.ru/wkpages/default.aspx;info@alan-it.ru;+7(4852)37-03-03
"Информационная платформа ""Спаси пчел""";технологии и коммуникации для предотвращения массовой гибели пчел;Билайн;127083, г. Москва, ул. 8 Марта, д. 10 стр. 14;https://www.mcxac.ru/upload/iblock/8d8/8d8a93e5b42252532840f9be7ee4078a.pdf;moskva.beeline.ru/business/main;media@beeline.ru;+7 (495) 139-27-26
Система планирования работы парка сельскохозяйственной техники;;Борлас;Россия, 117105, Москва, Новоданиловская наб., дом 4а;https://www.mcxac.ru/upload/iblock/232/232aeccf4d7dc219bbb34a6e5deb075a.pdf;www.borlas.ru;info@borlas.ru;+7(495)478-77-00
«Искусственный интеллект в помощь агроному»;формирование оптимальной структуры посевных площадей;Борлас;Россия, 117105, Москва, Новоданиловская наб., дом 4а;https://www.mcxac.ru/upload/iblock/ade/adec107f0f7e1a87de971c73663c6eb6.pdf;www.borlas.ru;info@borlas.ru;+7(495)478-77-00
БорласАгросистема;информационно-аналитическая система управления производственными процессами в растениеводческом холдинге;Борлас;Россия, 117105, Москва, Новоданиловская наб., дом 4а;https://www.mcxac.ru/upload/iblock/491/491716a9a31f5eb491d61de4591bc7e2.pdf;www.borlas.ru;info@borlas.ru;+7(495)478-77-00
TELEMATICS;объединенные в сеть сельскохозяйственные машины;CLAAS;109147, г.Москва, ул. Таганская, 17-23, метро Марксистская;https://www.mcxac.ru/upload/iblock/b19/b1967be8ad0adcb8baef2e516a075d7d.pdf;www.claas.ru;info-ru@claas.com;+7(495)644 13 74
Модернизация имеющейся ИТ-инфраструктуры в соответствии с инновационными техническими достижениями;;СТК Развитие;127055, г. Москва, ул. Сущёвская, д.27, стр.2, ЭТ/ПОМ/КОМ 3/III/4;https://www.mcxac.ruNone;stcd.ru;global@stcd.ru;+7 (495) 269-19-57
