Интеллектуальные фермы Lely;;"ООО ""Лейли Рус""";142103, Московская обл., г. Подольск, ул. Бронницкая, д. 7;https://www.mcxac.ru/upload/iblock/3a3/3a347916f4a488097621b4fb52786d2b.pdf;www.lely.com/ru;russia@lely.com;+7(495)771-21-77
Роботы для персонала;Сервис для сбора, хранения информации, а также взаимодействия с системами управления предприятия.;"""Мустанг Технология Кормления""";117513, г. Москва, Ленинский проспект, д. 137. корп. 1;https://www.mcxac.ru/upload/iblock/a21/a21df399ea78c75206389bb22a0c93d2.pdf;www.mustangtk.ru;mtk@mustangtk.ru;+7(495)931-91-90
CLAAS CROP SENSOR;Система для экономии удобрений при внесении;CLAAS;109147, г. Москва, ул. Таганская, 17-23, метро Марксистская;https://www.mcxac.ru/upload/iblock/685/6858c97331d2a49997cc455a12034e1e.pdf;www.claas.ru;info-ru@claas.com;+7(495)644 13 74
GEMOS AUTOMATIC;Автоматическая система комплексной настройки зерноуборочных комбайнов;CLAAS;109147, г. Москва, ул. Таганская, 17-23, метро Марксистская;https://www.mcxac.ru/upload/iblock/746/7463957b98de265a0c8248ed4f7d166d.pdf;www.claas.ru;info-ru@claas.com;+7(495)644 13 74
GPS PILOT;Система автоматического рулевого управления;CLAAS;109147, г. Москва, ул. Таганская, 17-23, метро Марксистская;https://www.mcxac.ru/upload/iblock/d1c/d1c518682153c9e1cb91a06590898120.pdf;www.claas.ru;info-ru@claas.com;+7(495)644 13 74
DataFlow™ II;Система цифрового управления стадом;Milkline;141280, Московская обл., Ивантеевка, Фабричный пр-д, 1;https://www.mcxac.ru/upload/iblock/8af/8afd6175558c832bbd471e2768c46f47.pdf;www.milkline.com/ru;russia@milkline.com;+7 499 9482086
DeLaval VMS™;Система автоматизированного определения упитанности животных;DeLaval;141070, Московская область, г. Королёв, ул. Советская, 73;https://www.mcxac.ru/upload/iblock/29f/29f858f8a9bba6e52be1d9f414b7e3bd.pdf;www.delaval.com/ru;delaval.ao@delaval.com;+7 (495) 787-14-40
Nedap Livestock Management;Система индивидуальной идентификации животных;Nedap;117546, г. Москва, ул. Подольских Курсантов, владение 17;https://www.mcxac.ru/upload/iblock/119/119f78e9ebfbf7e2031b2c3d325e7f09.pdf;www.nedap-livestockmanagement.com;sale@securityrussia.com;+7(495)118-38-71
АРМ инженера СХП;инструмент для эффективного контроля над эксплуатацией, обслуживанием и ремонтом сельскохозяйственной техники;Комплексные Цифровые Технологии;119270, г. Москва, ул. 3-я Фрунзенская, 9-153;https://www.mcxac.ru/upload/iblock/150/15033ed4de0d1bcab2924afbc9bf059e.pdf;www.kctech.ru;info@kctech.ru;+7(985)768-37-64
Оптимизация процесса уборки сельскохозяйственных угодий;;GMCS;119602, г. Москва,  ул. Покрышкина, д. 7;https://www.mcxac.ru/upload/iblock/4a7/4a7769d30e99f48b957ec1f28646b9c7.pdf;www.gmcs.ru;info@gmcs.ru;+7 (495) 737 99 91
